fid,levl_code,cntr_code,name_latn,mount_type,urbn_type,coast_type,shape_leng,cntr_name,shape_Length,shape_Area,NUTS_ID,NUTS_NAME,dens_2015,dens_2019,dens_2021,dens_2022,dens_2023,dens_cambio_pct,n_pixeles,frac_urbano_denso,frac_urbano_disperso,frac_industrial,frac_transporte,frac_otro_artificial,frac_agricola,frac_natural,frac_artificial,area_industrial_km2,area_artificial_km2,n_instalaciones,nox_total_t,n_estaciones,no2_estaciones,no2_fondo,area_km2,dens_instal,nox_por_km2,log_dens_pob,poblacion,n_celdas,no2_areal,no2_poblacion,no2_p90,no2_max,sup_sobre_20,sup_sobre_40,pob_sobre_20,pob_sobre_10,prob_media_20,brecha_exposicion
16,3,ES,Girona,2,2,1,621851.4616180001,Spain,838956.1681493283,10751640119.025547,ES512,Girona,125.8,129.3,130.7,135.6,138.2,9.85691573926868,590968,0.00429634091862842,0.03159223511256109,0.00593094719172611,9.3406072748439e-4,0.0058818751607532,0.23787582407169255,0.7134887168171542,0.04863545911115323,35.050000000000004,287.42,1,384,3,8.893012982875135,2.9603312758785227,5909.68035021851,0.16921388987866748,0.06497813371340831,4.92870191133357,816717.8244001981,1462,4.557331638326416,5.606619813533909,5.604996166181758,21.459861172516437,6.839945280437756e-4,0,4.95034157577204e-4,0.08235056751339412,0.006725110674013632,1.0492881752074927
132,3,ES,Huesca,2,2,3,753020.600194,Spain,1017226.8210550677,28516561620.93791,ES241,Huesca,14.3,14.2,14.2,14.5,14.7,2.7972027972027913,1563644,0.00108016914335999,0.00190644417783075,0.00174016592011992,4.6685818511118e-4,0.00055575309981044005,0.4046163960594611,0.5896342134143066,0.00574939052623231,27.21,89.9,3,470.3,3,8.800737325174445,5.426004824554711,15636.613866474088,0.19185739480541847,0.0300768442589961,2.6878474937846906,229858.2238371691,3915,3.6914849664360654,3.8783621612087296,4.06216061004689,8.227420586666792,0,0,0,0,9.72645238314599e-5,0.18687719477266418
244,3,ES,Zamora,4,3,3,713081.277333,Spain,955269.7748399384,18972702111.10207,ES419,Zamora,17.6,16.6,16.4,16.1,16,-9.090909090909092,1055896,8.5898611226863e-4,0.00614359747550895,0.00162231886473667,6.4210869252274e-4,0.00154560676430254,0.5347875169524271,0.4543998651382333,0.01081261790933955,17.13,114.17,1,180.6,2,5.628838598709221,1.0076785332117015,10559.0518849885,0.09470547269700146,0.01710380836907846,2.772588722239781,168944.830159816,2644,3.7261522091507198,3.9225844498595306,3.9218616044130554,10.204038225299076,0,0,0,0,4.709495351087758e-4,0.19643224070881082
272,3,ES,Toledo,4,2,3,891244.926648,Spain,1161039.5310597548,26062689256.118088,ES425,Toledo,45.2,45.5,45.9,47.4,48.3,6.858407079646001,1536727,0.00444971683324364,0.01069480786112302,0.00385234332448118,0.00191250625517739,0.00337014967525136,0.6631438114902647,0.3125766645604587,0.02427952394927661,59.2,373.11,5,1922.4499999999998,5,13.061494008201993,10.09838677116253,15367.289942372327,0.32536641260431143,0.1251001319822317,3.877431560658527,742240.1042165833,3845,4.28875439514972,4.965907146668387,5.344971302599733,22.143297635255202,2.600780234070221e-4,0,0.0032892549088081595,0.02859067675707482,0.004007519030444542,0.6771527515186673
275,3,ES,León,2,2,3,779729.1804,Spain,1059939.3627219016,28792511757.98737,ES413,León,30.8,29.7,29.5,28.9,28.9,-6.168831168831179,1558140,9.8579075051022e-4,0.0088939376436007,0.00301834238258436,6.1098489224331e-4,0.00624013246563209,0.32073048634910856,0.6595203255163208,0.0197491881345707,47.03,307.72,6,2549,7,8.048598836319053,4.931207451321939,15581.47708764305,0.38507260680428834,0.16359167912402184,3.3638415951183864,450304.68783288414,3893,3.9394368763624756,4.384778417396866,4.200446227367645,15.463968710670507,0,0,0,0.038248086140686054,0.0033730038837364467,0.4453415410343906
276,3,ES,Cádiz,4,1,1,602422.3492380001,Spain,750719.4862931159,11549460432.459167,ES612,Cádiz,170.9,171.3,171.8,171.3,171.9,0.5851375073142151,743748,0.01066490262830958,0.02026358390207435,0.00811834115856446,0.00243765361385845,0.00937010923054583,0.553337958555855,0.3958074509107924,0.050854590533352687,60.38,378.23,13,5014.516666666666,21,12.184074285717392,10.794941340859268,7437.870131913156,1.7478121786802645,0.6741871769380896,5.146912912388804,1278569.8756758715,1866,4.5678670874265235,7.3121707570969035,5.293776866323455,29.646239642842847,0.001607717041800643,0,0.03364356526639033,0.2016582506041749,0.03750249927778455,2.74430366967038
283,3,ES,Barcelona,2,1,1,661708.967373,Spain,887741.1184205218,13891097808.341745,ES511,Barcelona,705.8,726.5,730.7,745.1,756.6,7.197506375743856,773028,0.01923863042477116,0.05584403152279089,0.0258321820166928,0.00511883140067371,0.0100656121123685,0.25278385776453116,0.6311168547581718,0.11609928747729709,199.69,897.48,16,5666.2,42,20.263051050168333,18.457962842981704,7730.080933825454,2.069836025905868,0.7330065556242393,6.628834712198929,5848579.234532339,1940,6.639556435739831,14.210763302166832,10.487086527442935,35.95822860575317,0.026804123711340205,0,0.3062467320687207,0.566146550849166,0.28049470194745885,7.571206866427001
287,3,ES,Castellón/Castelló,2,2,1,464104.192412,Spain,609250.5394135547,11398325094.179848,ES522,Castellón/Castelló,86.6,86.6,87,90.3,92.1,6.351039260969982,663391,0.00462472357930692,0.01135529423823959,0.0093820989431572,0.00148479554290003,0.00165513249350684,0.2802223726279072,0.6912755825749822,0.0285020447971106,62.24,189.08,31,8029.1,17,9.279442332278576,4.92675910115689,6633.788440340436,4.673046220691525,1.2103340455017524,4.522874943261261,610971.9153553541,1657,4.535219485082612,6.495495764723191,5.530480304673608,20.45191601519197,0,0,0,0.12478447039267296,0.03153282954196996,1.9602762796405786
288,3,ES,Eivissa y Formentera,4,2,1,228521.677561,Spain,293917.2037794179,1087221507.5584316,ES531,Eivissa y Formentera,241.6,261.7,265.3,260.7,265.1,9.726821192052991,65679,0.00610545227546095,0.03855113506600283,0.00421748199576729,0.00436973766348452,0.00261879748473636,0.4292239528616453,0.5149134426529027,0.05586260448545197,2.77,36.69,2,541.8,4,8.174357854214099,4.892245432486116,656.6981333371673,3.0455393406351345,0.8250366073780578,5.5801071132949795,174090.67514768307,161,4.268392630336435,5.4339179969787255,5.463781160969339,11.698626018802987,0,0,0,0.1207818432730619,0.0022175356292705307,1.1655253666422905
306,3,ES,Burgos,2,2,3,1054675.8228,Spain,1429543.892221926,26201019105.563477,ES412,Burgos,25.3,24.9,24.9,25,25.1,-0.7905138339920903,1429200,0.00122935908200391,0.00396655471592499,0.00284774699132381,8.6621886369997e-4,0.00173383711167086,0.5093576826196473,0.4799986006157291,0.01064371676462356,40.7,152.12,5,979.45,5,8.502199969865693,5.9284108151941455,14291.761724936543,0.34985190043267395,0.0685324887757565,3.2228678461377385,358723.21929590724,3566,3.848408597440798,4.366287437111605,4.170042021092795,18.309012437194365,0,0,0,0.03820706290412776,0.007596139589899275,0.5178788396708072
328,3,ES,Tarragona,2,2,1,581089.3093389999,Spain,771083.0934572777,11104644935.02103,ES514,Tarragona,126.5,129.4,130.9,134.4,136.8,8.142292490118596,630190,0.00614735238578841,0.01994953902791221,0.0092368968088989,0.00158523619860676,0.00548088671670448,0.47831447658642634,0.4792856122756629,0.04239991113791079,58.21,267.20000000000005,13,6179.48,15,10.280772005113405,9.913121755470481,6302.2067696284885,2.0627695147435383,0.9805263816128769,4.918520005188451,862141.8860851773,1576,4.329977671840259,6.081031682772928,5.396294982855992,27.412760457569195,0.0019035532994923859,0,0.04129630077749952,0.08726834310442143,0.03366136052346292,1.7510540109326689
